userid,contentid,rating
141,pDs04EPhFnA,2.0
139,pDs04EPhFnA,2.0
139,tXa15fvPzU4,2.0
144,VdroB1sBuuA,2.0
152,rHD_OI3zp5c,2.0
152,kbSwL_B6_as,2.0
152,G_ImWPbN8UY,2.0
158,gNJcutE6Mcg,2.0
158,arQkWmozV4g,2.0
158,zQjvGFV8cBk,2.0
158,WZYT9dCH4ag,2.0
159,YGRN2phyM-Q,2.0
160,4k_wT9O3qYc,2.0
161,SMlBtvUfrXQ,2.0
168,RmQDd9w8-cQ,2.0
172,k06xM5M9F5M,2.0
174,2UBwXNTFDE8,2.0
174,vL5SFGprgcQ,2.0
175,N0RV_R8UJkc,2.0
175,vZfBpKLgRjc,2.0
181,764lmZ0z9NY,2.0
186,vZfBpKLgRjc,2.0
186,kOAu7F9gNro,2.0
189,SMlBtvUfrXQ,2.0
189,vsdioeulfus,2.0
193,Yyc0P38UZe4,2.0
198,1UlKIuvXUq8,2.0
198,xw_lxS_NKdE,2.0
204,lD2GBTjp0Ds,2.0
204,jWlFqcvw8vw,2.0
204,N0RV_R8UJkc,2.0
204,yxCVw-konzw,2.0
204,yTuPLuQr_2E,2.0
201,eGyHYPRYmrM,2.0
201,IMfyIl2RcOE,2.0
205,cIR9r4-QeGE,2.0
205,P3c6XiEsors,2.0
211,CZ7yHcNeP-I,2.0
211,RyqfJ-pUfbQ,2.0
211,5bqWcO3uPzE,2.0
216,07-559sVEt0,2.0
218,DvomvKS770c,2.0
219,xbcRE9iUXTY,2.0
226,K_pJ22uLfl4,2.0
226,rV3DOzbIbMs,2.0
226,gvU6FOd_wzk,2.0
226,jWlFqcvw8vw,2.0
226,Un4gkomWdBQ,2.0
220,EDXcJdLoMMo,2.0
220,B9PcPNhvsDk,2.0
231,YqBKfblIQhc,2.0
233,gJSb-9DQ3Xc,2.0
233,DvomvKS770c,2.0
233,EDXcJdLoMMo,2.0
234,MMiiQUqvhr4,2.0
234,CZ7yHcNeP-I,2.0
235,wUFDOy9vlvg,2.0
243,GJDuvCAFI3s,2.0
256,kOAu7F9gNro,2.0
256,cIR9r4-QeGE,2.0
267,RyqfJ-pUfbQ,2.0
271,_fvTrRkDBec,2.0
272,-8CaABe9ttM,2.0
291,0R-pSOZRwgM,2.0
294,5bqWcO3uPzE,2.0
294,msBA33SWQuA,2.0
302,jh-kRZF6LVU,2.0
302,qVMOF2JzXYA,2.0
302,IBkTxbhQv0U,2.0
302,Ug-6udgiFO8,2.0
302,nEOG0yDFQgU,2.0
316,dMXsfPNzNFo,2.0
316,K4yAztTILnQ,2.0
316,A1PP3YSnim4,2.0
331,tRKhfo7V-g8,2.0
332,t2CocUeqmyM,2.0
349,uwcXA2QfZcM,2.0
349,De1c-sQlBbc,2.0
353,2UBwXNTFDE8,2.0
364,qOH-5EfhaXQ,2.0
364,vL5SFGprgcQ,2.0
384,HpV1kLrPiDg,2.0
384,n4oSSv5vFVw,2.0
394,G_ImWPbN8UY,2.0
394,CGBCCEPT2cg,2.0
398,YGRN2phyM-Q,2.0
402,ftZmpE0y4Jw,2.0
425,OB_nNRmH5y0,2.0
433,hIcYtr9Zomg,2.0
447,YCxCC4w8QUE,2.0
447,EU3Q5D-ElzY,2.0
464,17VNzvH3xNw,2.0
464,_IxssQ37lEs,2.0
464,46mCHS_QbRo,2.0
464,YGRN2phyM-Q,2.0
442,IMfyIl2RcOE,2.0
465,N0RV_R8UJkc,2.0
469,HVxeRImKvxM,2.0
472,Ztz0wWpKr9c,2.0
474,EDXcJdLoMMo,2.0
499,9aHBnIOJv0c,2.0
509,8bhBREE5uIk,2.0
513,EDXcJdLoMMo,2.0
513,kOAu7F9gNro,2.0
515,cLdEEF5vvdA,2.0
525,7geOuKvcVIM,2.0
527,0UvWolX5z4Q,2.0
527,r9y288bzEE4,2.0
527,t9KtQM1k_V4,2.0
527,s7HYqHXcomg,2.0
527,t2CocUeqmyM,2.0
534,vxGSvGC-Cic,2.0
548,0UvWolX5z4Q,2.0
548,OB_nNRmH5y0,2.0
548,9aHBnIOJv0c,2.0
548,msBA33SWQuA,2.0
548,YqBKfblIQhc,2.0
533,3pm6v766RK0,2.0
574,46mCHS_QbRo,2.0
583,A-kmWmuKnRE,2.0
589,46mCHS_QbRo,2.0
637,eGyHYPRYmrM,2.0
637,EjOitPFkRoM,2.0
661,DiWxrbLuy-U,2.0
663,_fvTrRkDBec,2.0
674,xw_lxS_NKdE,2.0
674,t2CocUeqmyM,2.0
674,EDXcJdLoMMo,2.0
677,EU3Q5D-ElzY,2.0
679,vDXgB4371j0,2.0
657,nJT--MlnCBk,2.0
685,G_ImWPbN8UY,2.0
695,7geOuKvcVIM,2.0
696,CZ7yHcNeP-I,2.0
712,JU1s3s7pJ-A,2.0
716,ssRYHLk_Rn0,2.0
716,WZYT9dCH4ag,2.0
716,WSMUUfq79No,2.0
716,E5gD6B6QkCQ,2.0
716,uzTGdXkjCGM,2.0
716,KdoiVHTAvbo,2.0
721,nQcg55mtcgg,2.0
721,t2CocUeqmyM,2.0
721,EDXcJdLoMMo,2.0
721,tRFrc5AtZyM,2.0
754,HdefB3zbyQE,2.0
754,ZtxEdBctCxw,2.0
769,EDXcJdLoMMo,2.0
779,lD2GBTjp0Ds,2.0
779,jBf5HZcChlU,2.0
779,zQjvGFV8cBk,2.0
779,FOjSapwjrGA,2.0
786,KwWbgLD7YCY,2.0
806,7AdiVHvfJGg,2.0
821,hRGWr_IOmUs,2.0
836,B9PcPNhvsDk,2.0
836,ZoQG51WRNJU,2.0
836,vZfBpKLgRjc,2.0
836,MMiiQUqvhr4,2.0
800,OB_nNRmH5y0,2.0
831,WQ7sRptYk8k,2.0
853,vZfBpKLgRjc,2.0
853,YuxBxhxQpXE,2.0
854,Un4gkomWdBQ,2.0
854,vezEfLiUkdM,2.0
871,_fvTrRkDBec,2.0
884,_fvTrRkDBec,2.0
884,GJDuvCAFI3s,2.0
884,9TlnPdC2qpE,2.0
884,-8CaABe9ttM,2.0
891,t2CocUeqmyM,2.0
920,vsdioeulfus,2.0
920,arQkWmozV4g,2.0
920,G_ImWPbN8UY,2.0
893,CZSu5RwQFLU,2.0
893,2UBwXNTFDE8,2.0
893,cIR9r4-QeGE,2.0
897,1T1pVZvzjG8,2.0
917,qkXJ88q5jF4,2.0
919,bBikq-O0LtY,2.0
934,jBf5HZcChlU,2.0
942,_fvTrRkDBec,2.0
942,hGsPR-FoDmM,2.0
951,TBhs7Qup8BE,2.0
951,t9KtQM1k_V4,2.0
951,FdC_OTXm1tY,2.0
953,LkqiN4CXBzQ,2.0
955,WZRIMEguGSk,2.0
958,uce32VgKjc0,2.0
957,cIR9r4-QeGE,2.0
964,_TO6PWGI-9I,2.0
964,r9y288bzEE4,2.0
964,wLpLXuhPvBY,2.0
964,qOH-5EfhaXQ,2.0
966,UYYpUzWDLOg,2.0
969,yxCVw-konzw,2.0
970,2UBwXNTFDE8,2.0
970,CZ7yHcNeP-I,2.0
975,vZfBpKLgRjc,2.0
975,msBA33SWQuA,2.0
975,SMlBtvUfrXQ,2.0
975,4k_wT9O3qYc,2.0
975,GJDuvCAFI3s,2.0
979,BPd3HkmmS3Y,2.0
979,xQnlM9MKvCU,2.0
979,r2Cs0f6xGbw,2.0
979,vjwvEHXbTAY,2.0
977,hRGWr_IOmUs,2.0
995,0R-pSOZRwgM,2.0
995,jsChlX4fjVM,2.0
1004,IMfyIl2RcOE,2.0
1021,t9-nHlWhONo,2.0
1048,4k_wT9O3qYc,2.0
1048,CZ7yHcNeP-I,2.0
1055,JU1s3s7pJ-A,2.0
1040,YGRN2phyM-Q,2.0
1070,Bnh0ibJo7ic,2.0
1070,DvomvKS770c,2.0
1075,pDs04EPhFnA,2.0
1092,kOAu7F9gNro,2.0
1094,rszE9dQyJ_E,2.0
1120,aIzFse9uh4w,2.0
1120,m-R50XH2OyI,2.0
1120,5Hm_-4ehiUE,2.0
1120,gvU6FOd_wzk,2.0
1120,S7lW4WrUChI,2.0
1120,P-7h8hBwuKs,2.0
1120,FdN18zATGO0,2.0
1120,Anq7A26mVDg,2.0
1098,TCxipLeGYPw,2.0
1122,0rqJHMEakiw,2.0
1122,YqbP6dlENfs,2.0
1135,vZfBpKLgRjc,2.0
1135,z3Z0gYt6YXo,2.0
1135,WZRIMEguGSk,2.0
1135,7geOuKvcVIM,2.0
1145,YuxBxhxQpXE,2.0
1165,B9PcPNhvsDk,2.0
1173,i0sInQb6MP4,2.0
1173,kOAu7F9gNro,2.0
1181,TIfoLjY7ivc,2.0
1181,rHD_OI3zp5c,2.0
1183,1lusmf7P46I,2.0
1186,jWlFqcvw8vw,2.0
1186,V00qDnKn_3A,2.0
1186,YqBKfblIQhc,2.0
1186,y1c4pEozO_c,2.0
1187,mkTfiF6kVkA,2.0
1187,m5JRB3yN9cY,2.0
1187,7geOuKvcVIM,2.0
1195,Qu8eCkwwsPc,2.0
1195,xDVEpAZB6VI,2.0
1200,CZSu5RwQFLU,2.0
1219,EDXcJdLoMMo,2.0
1220,YqBKfblIQhc,2.0
1224,RCMvkZfeQa4,2.0
1227,9aHBnIOJv0c,2.0
1227,vL5SFGprgcQ,2.0
1233,vezEfLiUkdM,2.0
1239,KdoiVHTAvbo,2.0
1246,YqBKfblIQhc,2.0
1249,hGsPR-FoDmM,2.0
1272,FOjSapwjrGA,2.0
1272,vDXgB4371j0,2.0
1276,p3U9sfLNxr8,2.0
1276,r2Cs0f6xGbw,2.0
1276,DvomvKS770c,2.0
1276,2UBwXNTFDE8,2.0
1281,x7UxDvqpksA,2.0
1288,vk9XX3-H0IY,2.0
1288,TBhs7Qup8BE,2.0
1289,xL1xQq_MY30,2.0
1292,vZfBpKLgRjc,2.0
1292,EDXcJdLoMMo,2.0
1292,JG9wjL9Mef4,2.0
1292,FudWFjnjkj8,2.0
1312,ZgBeBU8bAxo,2.0
1330,vL5SFGprgcQ,2.0
1331,vL5SFGprgcQ,2.0
1334,G_ImWPbN8UY,2.0
1334,IMfyIl2RcOE,2.0
1332,vL5SFGprgcQ,2.0
1342,fsZieUBP5u8,2.0
1351,46mCHS_QbRo,2.0
1351,kOAu7F9gNro,2.0
1358,msBA33SWQuA,2.0
1368,vL5SFGprgcQ,2.0
1368,2UBwXNTFDE8,2.0
1366,Pyuigp__khI,2.0
1374,46mCHS_QbRo,2.0
1375,bvSOoFKSmV8,2.0
1389,YpOvFoUqaHQ,2.0
1392,B9PcPNhvsDk,2.0
1393,msBA33SWQuA,2.0
1393,YGRN2phyM-Q,2.0
1393,t2CocUeqmyM,2.0
1391,lv268cLXMBY,2.0
1406,EDXcJdLoMMo,2.0
1418,lD2GBTjp0Ds,2.0
1418,190T_VrgPdM,2.0
1418,Me_Lp-6t56Q,2.0
1419,C8UZszmP4II,2.0
1419,Me_Lp-6t56Q,2.0
1438,WAnvAs7_JYM,2.0
1451,vezEfLiUkdM,2.0
1452,mjpmty0n8gk,2.0
1452,NpK5U96TguU,2.0
1452,7geOuKvcVIM,2.0
1455,9j_Dfm0RlM4,2.0
1455,m-R50XH2OyI,2.0
1455,GJDuvCAFI3s,2.0
1458,maR36c__jgs,2.0
1483,YCxCC4w8QUE,2.0
1484,kOAu7F9gNro,2.0
1485,U0QvoTdqKcU,2.0
1485,XmURkXwCsAA,2.0
1485,YqZpPcEXqws,2.0
1492,cJOvnq-0EWI,2.0
1495,YqZpPcEXqws,2.0
1495,17VNzvH3xNw,2.0
1496,7QpM9RuJyUQ,2.0
1493,pDs04EPhFnA,2.0
1493,vDR-ZwZri8U,2.0
1507,yTuPLuQr_2E,2.0
1514,A59cAuqvGMY,2.0
1516,poQWVXwGVD4,2.0
1519,6GJYd_RUfT0,2.0
1524,WSMUUfq79No,2.0
1530,pDs04EPhFnA,2.0
1530,xbcRE9iUXTY,2.0
1538,ZjQ6ZsSoGlk,2.0
1538,2UBwXNTFDE8,2.0
1528,nEOG0yDFQgU,2.0
1547,vsdioeulfus,2.0
1551,fAiEFpZpbKw,2.0
1554,kOAu7F9gNro,2.0
1555,tcuinQdKbjk,2.0
1556,0R-pSOZRwgM,2.0
1560,vsdioeulfus,2.0
1562,k6RDAfF02-U,2.0
1562,YV72Ik2bR3k,2.0
1562,FudWFjnjkj8,2.0
1562,pDs04EPhFnA,2.0
1562,yxCVw-konzw,2.0
1563,YuxBxhxQpXE,2.0
1566,CZ7yHcNeP-I,2.0
1566,x7UxDvqpksA,2.0
1566,EDXcJdLoMMo,2.0
1569,DvomvKS770c,2.0
1569,4k_wT9O3qYc,2.0
1591,jh-kRZF6LVU,2.0
1591,SMlBtvUfrXQ,2.0
1599,arQkWmozV4g,2.0
1599,FOjSapwjrGA,2.0
1602,QhngFSaQQWU,2.0
1608,85LNBx24EJU,2.0
1608,vZfBpKLgRjc,2.0
1608,-wVRY0gxI_g,2.0
1608,c2F8lHX-vN0,2.0
1613,s1vULbZPOIg,2.0
1640,L-1nimBls80,2.0
1671,tXa15fvPzU4,2.0
1671,s1vULbZPOIg,2.0
1671,U0QvoTdqKcU,2.0
1672,4k_wT9O3qYc,2.0
1672,f3XKxcp9tjM,2.0
1672,MHDQgu9Iebw,2.0
1672,-357CLN3a6I,2.0
1630,yxCVw-konzw,2.0
1630,nJT--MlnCBk,2.0
1662,_fvTrRkDBec,2.0
1704,GSWNAHlxbfc,2.0
1733,gJZwO7_u2YI,2.0
1746,2Gq-ITYG7RY,2.0
1746,jh-kRZF6LVU,2.0
1804,4k_wT9O3qYc,2.0
1804,rszE9dQyJ_E,2.0
1748,kbSwL_B6_as,2.0
1803,46mCHS_QbRo,2.0
1805,lv268cLXMBY,2.0
1845,G_ImWPbN8UY,2.0
1845,_fvTrRkDBec,2.0
1845,poQWVXwGVD4,2.0
1824,G_ImWPbN8UY,2.0
1873,VdroB1sBuuA,2.0
1885,qTA3tWfsXx8,2.0
1885,vL5SFGprgcQ,2.0
1885,msBA33SWQuA,2.0
1885,x7UxDvqpksA,2.0
1898,9aHBnIOJv0c,2.0
1915,fsZieUBP5u8,2.0
1915,lD2GBTjp0Ds,2.0
1915,17VNzvH3xNw,2.0
1915,maR36c__jgs,2.0
1915,7geOuKvcVIM,2.0
1961,DvomvKS770c,2.0
1971,-QeaWE24gyA,2.0
1972,k5h9V6svvW8,2.0
1974,vxGSvGC-Cic,2.0
1974,2-G0bfl3Wws,2.0
1984,K7L2BPb9HUM,2.0
1987,vsdioeulfus,2.0
1989,vDXgB4371j0,2.0
2006,tXa15fvPzU4,2.0
2009,e3xcn-Dl0mo,2.0
2035,gJZwO7_u2YI,2.0
2035,A-kmWmuKnRE,2.0
2035,JU1s3s7pJ-A,2.0
2021,6GJYd_RUfT0,2.0
2021,maR36c__jgs,2.0
2030,vezEfLiUkdM,2.0
2054,WZYT9dCH4ag,2.0
2060,9TlnPdC2qpE,2.0
2072,YGRN2phyM-Q,2.0
2072,2UBwXNTFDE8,2.0
2072,tXa15fvPzU4,2.0
2077,P9gAlN2gx7Y,2.0
2075,TlWyDUth0ZM,2.0
2075,srMaQ0-6lUo,2.0
2092,zQjvGFV8cBk,2.0
2095,9aHBnIOJv0c,2.0
2095,YqBKfblIQhc,2.0
2098,BSJMJR3Y_HY,2.0
2120,Un4gkomWdBQ,2.0
2120,kOAu7F9gNro,2.0
2139,jBf5HZcChlU,2.0
2169,vxLvMAdSEN0,2.0
2169,ZFIcEX8XBDU,2.0
2169,B9PcPNhvsDk,2.0
2175,S7lW4WrUChI,2.0
2186,rQYLMDe-v_o,2.0
2239,YGRN2phyM-Q,2.0
2244,jBf5HZcChlU,2.0
2244,EDXcJdLoMMo,2.0
2247,nC-IiBCLs1Q,2.0
2247,ag4XtoK377Y,2.0
2247,zOc9wG-Olfo,2.0
2247,ThBmjRD_Dzw,2.0
2253,CZSu5RwQFLU,2.0
2255,CZ7yHcNeP-I,2.0
2257,maR36c__jgs,2.0
2257,YqbP6dlENfs,2.0
2257,pgVUgRFMliw,2.0
2256,msBA33SWQuA,2.0
2280,vxGSvGC-Cic,2.0
2300,vDXgB4371j0,2.0
2300,GJDuvCAFI3s,2.0
2300,XoYPr7pbbzM,2.0
2300,ZFIcEX8XBDU,2.0
2300,poQWVXwGVD4,2.0
2300,KdoiVHTAvbo,2.0
2300,xw_lxS_NKdE,2.0
2293,yUIRE0TgBI8,2.0
2293,zQjvGFV8cBk,2.0
2311,9wyVVZWsprc,2.0
2311,vL5SFGprgcQ,2.0
2308,4k_wT9O3qYc,2.0
2315,rHD_OI3zp5c,2.0
2322,arQkWmozV4g,2.0
2325,_fvTrRkDBec,2.0
2325,vZfBpKLgRjc,2.0
2325,t2CocUeqmyM,2.0
2331,DvomvKS770c,2.0
2331,t2CocUeqmyM,2.0
2333,pyavZcOUuqE,2.0
2357,X8eSM3Th6Ms,2.0
2372,G_ImWPbN8UY,2.0
2372,poQWVXwGVD4,2.0
2377,OVLapdUTvcE,2.0
2400,2UBwXNTFDE8,2.0
2400,y7oNLoz2XZs,2.0
2400,pAQUPLBcSDY,2.0
2400,46mCHS_QbRo,2.0
2400,vZfBpKLgRjc,2.0
2400,vL5SFGprgcQ,2.0
2417,zQjvGFV8cBk,2.0
2417,VI9RPuNCW5o,2.0
2417,ib_mN1MJ6Sw,2.0
2417,5Hm_-4ehiUE,2.0
2397,hGsPR-FoDmM,2.0
2419,yxCVw-konzw,2.0
2420,B9PcPNhvsDk,2.0
2421,RCMvkZfeQa4,2.0
2421,764lmZ0z9NY,2.0
2422,LkqiN4CXBzQ,2.0
2463,n55DsCp6Otw,2.0
2463,JU1s3s7pJ-A,2.0
2456,4k_wT9O3qYc,2.0
2467,7QpM9RuJyUQ,2.0
2467,190T_VrgPdM,2.0
2508,TsDot50LcVg,2.0
2508,46mCHS_QbRo,2.0
2508,msBA33SWQuA,2.0
2508,juKlDUfncfc,2.0
2508,vDXgB4371j0,2.0
2508,G_ImWPbN8UY,2.0
2589,gJZwO7_u2YI,2.0
2590,kOAu7F9gNro,2.0
2648,5C9BbfJSxl0,2.0
2648,EDXcJdLoMMo,2.0
2648,z3Z0gYt6YXo,2.0
2648,1lusmf7P46I,2.0
2597,jWlFqcvw8vw,2.0
2661,VI9RPuNCW5o,2.0
2663,QNn1AIRh79A,2.0
2666,OpMd6y5ohpQ,2.0
2728,rlQ3yc6t92c,2.0
2728,9aHBnIOJv0c,2.0
2726,zQjvGFV8cBk,2.0
2740,SNRdDal50X4,2.0
2756,s1vULbZPOIg,2.0
2756,EDXcJdLoMMo,2.0
2831,kOAu7F9gNro,2.0
2831,FudWFjnjkj8,2.0
2865,oPBvTXeHaWs,2.0
2933,zoiaaP_Ko2s,2.0
2933,AENdChLDQRM,2.0
3019,G_ImWPbN8UY,2.0
3022,GSWNAHlxbfc,2.0
3022,nEOG0yDFQgU,2.0
3039,1lusmf7P46I,2.0
3039,9aHBnIOJv0c,2.0
3039,MWrPAZHDHtw,2.0
3044,HDr7nyCRYZI,2.0
3044,A-kmWmuKnRE,2.0
3044,vZfBpKLgRjc,2.0
3044,juKlDUfncfc,2.0
3044,rszE9dQyJ_E,2.0
3071,6GJYd_RUfT0,2.0
3107,46mCHS_QbRo,2.0
3156,pDs04EPhFnA,2.0
3156,-SeEOTPLTLM,2.0
3185,_TO6PWGI-9I,2.0
3233,GSWNAHlxbfc,2.0
3233,r2Cs0f6xGbw,2.0
3254,XOIGy2vVAgE,2.0
3267,1lusmf7P46I,2.0
3267,d1ZWiCduLJg,2.0
3184,CZSu5RwQFLU,2.0
3306,5bqWcO3uPzE,2.0
3314,B9PcPNhvsDk,2.0
3314,jh-kRZF6LVU,2.0
3314,KS80U3CeuOA,2.0
3345,vezEfLiUkdM,2.0
3371,lD2GBTjp0Ds,2.0
3371,ThBmjRD_Dzw,2.0
3371,CO8erJV5riU,2.0
3371,1T1pVZvzjG8,2.0
3371,2UBwXNTFDE8,2.0
3378,mkTfiF6kVkA,2.0
3577,CZ7yHcNeP-I,2.0
3577,vk9XX3-H0IY,2.0
3577,EDXcJdLoMMo,2.0
3577,2UBwXNTFDE8,2.0
3577,EZ71ouvIlcM,2.0
3596,ieBQUr425Dc,2.0
3596,CZSu5RwQFLU,2.0
3596,s7FKIfMxdys,2.0
3596,fAiEFpZpbKw,2.0
3604,190T_VrgPdM,2.0
3604,kOAu7F9gNro,2.0
3610,KdoiVHTAvbo,2.0
3610,lD2GBTjp0Ds,2.0
3610,p3U9sfLNxr8,2.0
3623,yj9bWkYINUs,2.0
3623,qOH-5EfhaXQ,2.0
3632,ssRYHLk_Rn0,2.0
3735,NpK5U96TguU,2.0
3735,DFFAiOMm-is,2.0
3767,tXa15fvPzU4,2.0
3790,1aKv9X2lSwc,2.0
3794,0VQ5PZpNvPc,2.0
3796,JU1s3s7pJ-A,2.0
3801,Ocn7fn9XVp4,2.0
3804,cIR9r4-QeGE,2.0
3804,lIgmAK5ux0Y,2.0
3804,pYIDLXxiBFg,2.0
3832,amGzztFFv9Q,2.0
3847,2UBwXNTFDE8,2.0
3891,hGsPR-FoDmM,2.0
3891,FOjSapwjrGA,2.0
3891,SNRdDal50X4,2.0
3891,4k_wT9O3qYc,2.0
3908,MHDQgu9Iebw,2.0
3908,0UvWolX5z4Q,2.0
3876,TIfoLjY7ivc,2.0
3876,arQkWmozV4g,2.0
3976,46mCHS_QbRo,2.0
3976,2UBwXNTFDE8,2.0
3976,vZfBpKLgRjc,2.0
3981,vL5SFGprgcQ,2.0
3980,vezEfLiUkdM,2.0
3982,VdroB1sBuuA,2.0
3983,pvUh1ffzRb0,2.0
3983,msBA33SWQuA,2.0
4008,rHD_OI3zp5c,2.0
4009,YuxBxhxQpXE,2.0
4010,cIR9r4-QeGE,2.0
4010,KdoiVHTAvbo,2.0
4027,wLpLXuhPvBY,2.0
4037,VdroB1sBuuA,2.0
4045,P9gAlN2gx7Y,2.0
4052,2UBwXNTFDE8,2.0
4067,CZ7yHcNeP-I,2.0
4067,pDs04EPhFnA,2.0
4083,EZ71ouvIlcM,2.0
4081,p3U9sfLNxr8,2.0
4114,9aHBnIOJv0c,2.0
4114,WWfUQsGlxko,2.0
4183,gJSb-9DQ3Xc,2.0
4192,jBf5HZcChlU,2.0
4180,I1aALUQoTIU,2.0
4200,xbcRE9iUXTY,2.0
4297,WAnvAs7_JYM,2.0
4297,wLpLXuhPvBY,2.0
4297,pTkuKkktN_U,2.0
4240,l_qrUOLXw-M,2.0
4296,rV3DOzbIbMs,2.0
4332,9TlnPdC2qpE,2.0
4368,vsdioeulfus,2.0
4368,DvomvKS770c,2.0
4371,t9-nHlWhONo,2.0
4371,vL5SFGprgcQ,2.0
4406,qVMOF2JzXYA,2.0
4406,TCxipLeGYPw,2.0
4406,G0DqBoN77UA,2.0
4406,9j_Dfm0RlM4,2.0
4451,7geOuKvcVIM,2.0
4501,bvSOoFKSmV8,2.0
4447,jBf5HZcChlU,2.0
4525,vDXgB4371j0,2.0
4525,yUIRE0TgBI8,2.0
4570,2UBwXNTFDE8,2.0
4570,MEeQvnsZVTU,2.0
4570,vk9XX3-H0IY,2.0
4535,jBf5HZcChlU,2.0
4538,vZfBpKLgRjc,2.0
4611,190T_VrgPdM,2.0
4617,JchNmdaZjMA,2.0
4617,4sOdYMjDM8I,2.0
4674,t2CocUeqmyM,2.0
4674,DvomvKS770c,2.0
4674,CZ7yHcNeP-I,2.0
4674,rQYLMDe-v_o,2.0
4672,t2CocUeqmyM,2.0
4689,2UBwXNTFDE8,2.0
4739,t2CocUeqmyM,2.0
4739,RCJsbsRWYlI,2.0
4739,hGsPR-FoDmM,2.0
4739,rHD_OI3zp5c,2.0
4739,zQjvGFV8cBk,2.0
4764,X4GZkK58_oA,2.0
4771,kOAu7F9gNro,2.0
4793,ag4XtoK377Y,2.0
4891,SmiQ2egWqkU,2.0
4891,nC-IiBCLs1Q,2.0
4891,4D9VW49UEn4,2.0
4877,zQjvGFV8cBk,2.0
4877,jWlFqcvw8vw,2.0
4877,MWrPAZHDHtw,2.0
4786,X4GZkK58_oA,2.0
4998,8bhBREE5uIk,2.0
4998,xbcRE9iUXTY,2.0
